id,id2,-,-,-,-,name,-,description,price,price2,-,-,-,option groups,-,-,-,-,photo,-,-,-,category,-
33,33,,,,,Bananenbrood,,Anne&Max bananenbrood met dadels en specerijen,4,4,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,ec67228431de88dcd487ff768cf847c3.webp,,,9,Taart en zoetigheden,
34,34,,,,,Scone,,Met clotted cream en lemoncurd,4.75,4.75,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,53c83318b50bdf51e47fa0adf00901ca.webp,,,9,Taart en zoetigheden,
35,35,,,,,Roze koek,,De planeetaardige variant,3.5,3.5,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,ff7cbb077d70f64778ed93bfc14d743f.webp,,,9,Taart en zoetigheden,
36,36,,,,,Haverkoek,,,3,3,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,61629e2b0b8c77294ec94630a31832f5.webp,,,9,Taart en zoetigheden,
37,37,,,,,Muffin,,,4,4,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,d14c72493be735429afa3a04f124e83f.webp,,,9,Taart en zoetigheden,
38,38,,,,,Wortelette,,Zowel vegan als glutenvrij!,5.75,5.75,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,d51b97a1ad5fb58b9bd87944303e5595.webp,,,9,Taart en zoetigheden,
39,39,,,,,No cheesecake,,Zowel vegan als glutenvrij!,5.75,5.75,0,0,0,"673678592-2,673678592-3,673678592-4",0,0,"delivery,takeaway",1,06948d0d70c5af6652a83f77171fdb27.webp,,,9,Taart en zoetigheden,
40,40,,,,,Cold drip,,"Rijke, zachte en zwarte ijskoffie die in 18 uur druppelsgewijs met ijskoud water wordt gezet",4,4,0,0,0,,0,0,"delivery,takeaway",1,7907ce69f5be0a6cadea9dbb01665767.webp,,,9,IJskoffies,
41,41,,,,,IJscappuccino,,IJskoude cappuccino bereid met havermelk,4,4,0,0,0,673678602-3,0,0,"delivery,takeaway",1,127c54af723c8074be37ad082a0d14f5.webp,,,9,IJskoffies,
42,42,,,,,Iced matcha latte,,"Matcha, havermelk en ijsblokjes",5.75,5.75,0,0,0,673678602-3,0,0,"delivery,takeaway",1,829b6457a380284c16e814914c5db2ad.webp,,,9,IJskoffies,
